u_arrival_time,optimal_alpha_lp,optimal_alpha_simple_lp
0,0.7512562814070296,0.6249999999999998
1,0.6592883564640123,0.6256281407035174
2,0.6592977399886469,0.6262626262626261
3,0.6593166966040703,0.6269035532994922
4,0.659345418748651,0.6275510204081631
5,0.6593841017716554,0.628205128205128
6,0.6594329439724185,0.6288659793814431
7,0.6594921466400104,0.6295336787564766
8,0.6595619140934009,0.6302083333333331
9,0.6596424537221347,0.6308900523560207
10,0.6597339760275142,0.631578947368421
11,0.6598366946643043,0.6322751322751321
12,0.6599508264829591,0.6329787234042552
13,0.6600765915723861,0.6336898395721924
14,0.6602142133032407,0.6344086021505375
15,0.6603639183717694,0.635135135135135
16,0.6605259368442032,0.6358695652173914
17,0.6607005022017073,0.6366120218579233
18,0.6608878513858972,0.6373626373626372
19,0.6610882248449247,0.6381215469613258
20,0.6613018665801382,0.6388888888888888
21,0.6615290241933375,0.6396648044692737
22,0.6617699489346095,0.640449438202247
23,0.6620248957507703,0.6412429378531073
24,0.662294123334411,0.6420454545454545
25,0.6625778941735583,0.6428571428571427
26,0.6628764746019536,0.6436781609195401
27,0.6631901348499653,0.6445086705202311
28,0.6635191490961312,0.6453488372093023
29,0.66386379551935,0.6461988304093567
30,0.664224356351722,0.6470588235294117
31,0.6646011179320481,0.6479289940828401
32,0.6649943707599979,0.6488095238095236
33,0.6654044095509523,0.6497005988023951
34,0.6658315332915297,0.6506024096385541
35,0.6662760452958038,0.6515151515151514
36,0.6667382532622208,0.6524390243902438
37,0.6672184693312255,0.6533742331288344
38,0.6677170101436041,0.6543209876543209
39,0.6677852348993285,0.6552795031055899
40,0.6677852348993285,0.6562499999999999
41,0.6677852348993288,0.6572327044025156
42,0.6677852348993287,0.6582278481012658
43,0.6677852348993278,0.6592356687898088
44,0.6677852348993282,0.6602564102564101
45,0.6677852348993278,0.6612903225806451
46,0.667785234899328,0.6623376623376622
47,0.6677852348993284,0.6633986928104574
48,0.6677852348993284,0.6644736842105262
49,0.6677852348993285,0.6655629139072847
50,0.6677852348993285,0.6666666666666665
51,0.6677852348993286,0.6655629139072847
52,0.667785234899328,0.6644736842105262
53,0.6677852348993278,0.6633986928104574
54,0.667785234899328,0.6623376623376622
55,0.6677852348993278,0.6612903225806451
56,0.6677852348993276,0.6602564102564101
57,0.6677852348993278,0.6592356687898088
58,0.6677852348993276,0.6582278481012658
59,0.667785234899327,0.6572327044025156
60,0.6677852348993272,0.6562499999999999
61,0.667785234899327,0.6552795031055899
62,0.6677170101436023,0.6543209876543209
63,0.6672184693312233,0.6533742331288344
64,0.666738253262219,0.6524390243902438
65,0.6662760452958023,0.6515151515151514
66,0.6658315332915277,0.6506024096385541
67,0.6654044095509501,0.6497005988023951
68,0.6649943707599962,0.6488095238095236
69,0.6646011179320462,0.6479289940828401
70,0.6642243563517208,0.6470588235294117
71,0.6638637955193487,0.6461988304093567
72,0.6635191490961297,0.6453488372093023
73,0.6631901348499638,0.6445086705202311
74,0.6628764746019523,0.6436781609195401
75,0.6625778941735568,0.6428571428571427
76,0.6622941233344095,0.6420454545454545
77,0.6620248957507692,0.6412429378531073
78,0.6617699489346083,0.640449438202247
79,0.661529024193336,0.6396648044692737
80,0.6613018665801373,0.6388888888888888
81,0.6610882248449239,0.6381215469613258
82,0.6608878513858967,0.6373626373626372
83,0.6607005022017066,0.6366120218579233
84,0.6605259368442021,0.6358695652173914
85,0.660363918371768,0.635135135135135
86,0.6602142133032403,0.6344086021505375
87,0.6600765915723855,0.6336898395721924
88,0.6599508264829583,0.6329787234042552
89,0.6598366946643035,0.6322751322751321
90,0.6597339760275144,0.631578947368421
91,0.6596424537221349,0.6308900523560207
92,0.6595619140934004,0.6302083333333331
93,0.6594921466400095,0.6295336787564766
94,0.6594329439724174,0.6288659793814431
95,0.6593841017716556,0.628205128205128
96,0.6593454187486504,0.6275510204081631
97,0.65931669660407,0.6269035532994922
98,0.6592977399886473,0.6262626262626261
99,0.6592883564640123,0.6256281407035174
100,0.751256281407035,0.6249999999999998
