u_arrival_time,optimal_alpha_lp,optimal_alpha_simple_lp
0,0.7501250625312794,0.6249999999999998
1,0.6581552214179675,0.6250625312656326
2,0.6581553135720252,0.6251251251251249
3,0.6581554980646319,0.6251877816725085
4,0.6581557750805583,0.6252505010020037
5,0.6581561448048501,0.6253132832080199
6,0.6581566074228323,0.6253761283851553
7,0.6581571631201111,0.6254390366281984
8,0.6581578120825631,0.6255020080321283
9,0.6581585544963522,0.6255650426921143
10,0.6581593905479157,0.6256281407035174
11,0.6581603204239732,0.6256913021618903
12,0.6581613443115232,0.6257545271629776
13,0.6581624623978484,0.6258178158027174
14,0.658163674870504,0.6258811681772406
15,0.6581649819173359,0.6259445843828714
16,0.658166383726464,0.6260080645161288
17,0.6581678804862932,0.6260716086737265
18,0.6581694723855119,0.6261352169525729
19,0.6581711596130884,0.6261988894497726
20,0.6581729423582752,0.6262626262626261
21,0.6581748208106087,0.6263264274886304
22,0.6581767951599085,0.62639029322548
23,0.6581788655962774,0.626454223571067
24,0.6581810323101046,0.6265182186234816
25,0.6581832954920619,0.6265822784810124
26,0.6581856553331094,0.6266464032421477
27,0.6581881120244889,0.6267105930055751
28,0.6581906657577324,0.6267748478701824
29,0.6581933167246563,0.6268391679350581
30,0.6581960651173621,0.6269035532994922
31,0.658198911128241,0.626968004062976
32,0.6582018549499724,0.627032520325203
33,0.6582048967755199,0.6270971021860701
34,0.6582080367981382,0.6271617497456763
35,0.6582112752113687,0.6272264631043255
36,0.6582146122090472,0.6272912423625253
37,0.6582180479852924,0.627356087620988
38,0.6582215827345155,0.6274209989806319
39,0.6582252166514174,0.6274859765425802
40,0.6582289499309912,0.627551020408163
41,0.6582327827685207,0.6276161306789176
42,0.6582367153595795,0.6276813074565881
43,0.6582407479000346,0.627746550843127
44,0.6582448805860421,0.6278118609406952
45,0.6582491136140551,0.6278772378516623
46,0.658253447180816,0.6279426816786078
47,0.6582578814833645,0.6280081925243213
48,0.6582624167190302,0.628073770491803
49,0.6582670530854366,0.6281394156842642
50,0.6582717907805055,0.628205128205128
51,0.6582766300024507,0.6282709081580297
52,0.6582815709497829,0.628336755646817
53,0.6582866138213069,0.6284026707755519
54,0.6582917588161235,0.6284686536485096
55,0.6582970061336326,0.6285347043701798
56,0.6583023559735272,0.6286008230452673
57,0.6583078085358005,0.6286670097786925
58,0.6583133640207425,0.6287332646755919
59,0.6583190226289399,0.6287995878413187
60,0.65832478456128,0.6288659793814431
61,0.6583306500189495,0.6289324394017534
62,0.65833661920343,0.6289989680082558
63,0.6583426923165073,0.629065565307176
64,0.6583488695602647,0.6291322314049586
65,0.6583551511370881,0.6291989664082686
66,0.6583615372496603,0.6292657704239916
67,0.6583680281009708,0.6293326435592341
68,0.6583746238943057,0.6293995859213248
69,0.6583813248332576,0.6294665976178143
70,0.6583881311217167,0.6295336787564766
71,0.6583950429638795,0.6296008294453083
72,0.658402060564246,0.6296680497925309
73,0.6584091841276165,0.6297353399065904
74,0.6584164138590998,0.6298026998961576
75,0.658423749964105,0.6298701298701297
76,0.6584311926483488,0.6299376299376298
77,0.6584387421178518,0.6300052002080081
78,0.6584463985789414,0.6300728407908427
79,0.6584541622382493,0.6301405517959394
80,0.6584620333027152,0.630208333333333
81,0.658470011979586,0.630276185513288
82,0.6584780984764149,0.6303441084462981
83,0.6584862930010617,0.630412102243088
84,0.6584945957616963,0.6304801670146136
85,0.6585030069667976,0.6305483028720624
86,0.6585115268251516,0.6306165099268546
87,0.6585201555458527,0.6306847882906428
88,0.6585288933383081,0.6307531380753136
89,0.658537740412235,0.6308215593929878
90,0.6585466969776579,0.6308900523560207
91,0.6585557632449128,0.6309586170770034
92,0.6585649394246516,0.6310272536687629
93,0.6585742257278335,0.6310959622443628
94,0.6585836223657309,0.6311647429171037
95,0.6585931295499307,0.6312335958005246
96,0.6586027474923289,0.6313025210084031
97,0.6586124764051406,0.6313715186547554
98,0.6586223165008882,0.6314405888538379
99,0.6586322679924147,0.6315097317201471
100,0.6586423310928722,0.6315789473684208
101,0.658652506015732,0.6316482359136386
102,0.6586627929747809,0.6317175974710219
